category,category_avg_price,category_avg_rating,category_avg_reviews
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,562.5,4.35,
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,374.0,4.05,
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,799.0,3.8,
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,2757.2,4.1,
Electronics|Cameras&Photography|VideoCameras,499.0,3.7,
Electronics|GeneralPurposeBatteries&BatteryChargers,489.25,4.375,421.0
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,327.42857142857144,4.414285714285715,816.5
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,376.0,4.166666666666667,
"Electronics|Headphones,Earbuds&Accessories|Adapters",120.0,3.9,
"Electronics|Headphones,Earbuds&Accessories|Cases",119.0,4.3,
"Electronics|Headphones,Earbuds&Accessories|Earpads",99.0,3.8,594.0
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",976.1730769230769,3.898076923076923,441.0
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",1113.625,4.0625,
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",1224.0,4.0,
Electronics|HomeAudio|Accessories|Adapters,209.0,4.4,
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,349.0,4.0,
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,4699.0,4.5,224.0
Electronics|HomeAudio|Speakers|BluetoothSpeakers,1249.0,4.05,
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,499.0,3.9,
Electronics|HomeAudio|Speakers|OutdoorSpeakers,1049.0,4.0,418.0
Electronics|HomeAudio|Speakers|SoundbarSpeakers,4999.0,4.2,
Electronics|HomeAudio|Speakers|TowerSpeakers,2299.0,3.8,282.0
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",1990.0,4.0,897.0
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",2699.0,3.5,621.0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",406.2916666666667,4.254166666666667,261.1666666666667
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",663.6666666666666,4.133333333333334,
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",464.0,4.300000000000001,
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399.0,4.4,
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",438.9387755102041,3.8,333.55263157894734
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",872.6666666666666,4.033333333333333,145.0
"Electronics|HomeTheater,TV&Video|Projectors",9990.0,4.133333333333334,17.0
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",1155.0,4.266666666666667,301.0
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24840.190476190477,4.20952380952381,401.625
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",7180.833333333333,4.066666666666666,283.5
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,479.0,3.966666666666667,
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,139.0,4.25,
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,637.75,4.2,
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,495.8,4.18,
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,1551.5833333333333,4.125,
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,546.875,4.14375,66.5
Electronics|Mobiles&Accessories|MobileAccessories|Décor,101.4,4.16,
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,99.0,4.4,305.0
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",577.7142857142857,4.471428571428571,655.0
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,375.0,3.9,
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,689.0,4.3,
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,89.0,4.1,
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,1699.0,4.1,
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,999.0,4.26,245.0
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,539.0,3.8,
Electronics|Mobiles&Accessories|MobileAccessories|Stands,179.0,4.159999999999999,104.0
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,1558.5,4.15,
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1721.888888888889,3.9111111111111114,
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,15754.441176470587,4.1000000000000005,250.6
Electronics|PowerAccessories|SurgeProtectors,1289.0,4.5,
Electronics|WearableTechnology|SmartWatches,2339.6973684210525,4.0249999999999995,361.15384615384613
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,899.0,4.0,
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,99.0,4.3,
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,90.0,4.4,
Home&Kitchen|CraftMaterials|PaintingMaterials,230.0,4.5,
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,233.66666666666666,4.433333333333334,
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,130.0,3.9,
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",42990.0,4.3,
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",11917.0,4.275,
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",2055.909090909091,4.1090909090909085,898.0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1465.6666666666667,4.1000000000000005,
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",1982.84,4.1,
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",1673.5,3.9499999999999997,397.0
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",2012.6666666666667,3.966666666666667,190.0
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",699.0,4.1,
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",4524.0,3.9,
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1997.0884999999998,3.8899999999999997,132.69230769230768
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",2470.15,3.81,121.52941176470588
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",1804.0,3.6,563.5
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2209.0,3.7,468.0
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",722.6666666666666,4.0777777777777775,303.0
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",2402.1739130434785,4.052173913043478,473.45454545454544
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",6323.333333333333,4.141666666666667,959.0
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,137.0,4.15,212.0
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,320.0,4.2,
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,394.92769230769227,3.9923076923076923,304.3333333333333
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,199.0,4.1,
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",244.0,3.3,478.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",204.0,4.2,
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",1099.0,4.5,
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",1004.4,4.08,496.3333333333333
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",4799.0,3.9,
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",519.0,3.733333333333333,318.0
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",599.0,4.2,590.0
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,3391.75,3.65,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,2599.0,4.4,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,6276.4,4.46,136.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,552.9,4.08,391.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,519.0,4.3,7.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,812.7272727272727,4.290909090909091,536.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,1000.5263157894736,4.057894736842105,134.625
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,984.0,4.233333333333333,550.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,2113.9,4.05,360.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,2745.0833333333335,3.891666666666667,57.75
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,3499.0,3.7,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,12609.0,4.4,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,1117.2631578947369,4.031578947368421,356.6666666666667
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,971.1538461538462,3.9615384615384617,593.8
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,3683.83,3.8,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,1285.375,4.0375,277.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,3004.7214814814815,4.011111111111111,444.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,5149.0,4.25,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,1564.3333333333333,4.333333333333333,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2651.8,3.96,365.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,1999.0,4.4,388.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,1465.5454545454545,4.1000000000000005,386.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,688.0,4.5,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,635.0,4.3,
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,5999.0,4.3,534.0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,387.42857142857144,3.6714285714285713,187.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,999.0,4.033333333333333,435.5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,587.0,4.1,557.0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",762.1666666666666,4.129166666666666,170.5
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",3071.25,4.033333333333333,691.0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",505.6363636363636,4.036363636363636,271.57142857142856
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",5229.0,4.2,233.5
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",253.0,4.3,
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",5399.0,4.175000000000001,
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",2780.375,3.9428571428571426,578.5
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",23449.5,4.25,
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",5646.333333333333,4.033333333333333,
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,793.0,4.033333333333333,
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,7015.25,4.175,260.75
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,409.54545454545456,3.9181818181818184,228.66666666666666
HomeImprovement|Electrical|Adapters&Multi-Outlets,425.0,4.0,
HomeImprovement|Electrical|CordManagement,249.0,4.5,
MusicalInstruments|Microphones|Condenser,638.0,3.9,
OfficeProducts|OfficeElectronics|Calculators|Basic,440.0,4.5,
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535.0,4.4,
OfficeProducts|OfficeElectronics|Calculators|Scientific,908.5,4.45,
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,99.0,4.3,388.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",1399.0,4.3,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",227.14285714285714,4.371428571428572,419.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",144.0,4.25,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",141.25,4.4,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",95.0,4.3,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",225.0,4.1,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",150.0,4.25,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",255.0,4.15,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",329.0,4.3,
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",244.33333333333334,4.133333333333333,
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150.0,4.3,
